request_id,department,request_type,created_date,status,closed_date,days_open,council_district,priority
SR-100216,Parks & Recreation,Trail Erosion,2025-01-21,Open,,597,4,High
SR-101923,Public Works,Street Light Outage,2025-01-22,In Progress,,596,1,Low
SR-100326,Public Works,Street Light Outage,2025-01-22,Closed,2025-02-13,22,2,High
SR-102026,Parks & Recreation,Playground Equipment Damage,2025-01-22,Resolved,2025-01-27,5,2,Low
SR-100189,Code Enforcement,Overgrown Lot,2025-01-22,Open,,596,2,High
SR-101592,Water Utilities,Billing Inquiry,2025-01-22,Closed,2025-02-06,15,3,Low
SR-100208,Code Enforcement,Illegal Dumping,2025-01-22,Resolved,2025-01-29,7,1,Low
SR-101089,Public Works,Pothole Repair,2025-01-23,Resolved,2025-02-07,15,2,Medium
SR-102338,Water Utilities,Low Water Pressure,2025-01-23,Closed,2025-02-24,32,5,Low
SR-101607,Code Enforcement,Unsafe Structure,2025-01-23,Resolved,2025-01-31,8,1,Low
SR-101009,Parks & Recreation,Playground Equipment Damage,2025-01-23,Closed,2025-02-24,32,3,Medium
SR-101635,Animal Control,Wildlife Concern,2025-01-23,Closed,2025-03-01,37,3,Medium
SR-101057,Water Utilities,Billing Inquiry,2025-01-24,Resolved,2025-02-14,21,5,Low
SR-101229,Parks & Recreation,Park Maintenance,2025-01-24,In Progress,,594,2,Medium
SR-100213,Animal Control,Animal Bite Report,2025-01-24,Resolved,2025-01-30,6,4,Medium
SR-101459,Public Works,Road Debris,2025-01-24,Open,,594,5,Medium
SR-100269,Animal Control,Animal Bite Report,2025-01-25,Open,,593,5,Low
SR-101243,Planning,Zoning Inquiry,2025-01-25,Open,,593,4,Low
SR-100968,Animal Control,Animal Bite Report,2025-01-25,Open,,593,2,High
SR-101155,Parks & Recreation,Park Maintenance,2025-01-25,Open,,593,1,Medium
SR-101489,Code Enforcement,Illegal Dumping,2025-01-25,In Progress,,593,4,Low
SR-101339,Code Enforcement,Unsafe Structure,2025-01-26,Open,,592,4,Low
SR-101980,Public Works,Street Light Outage,2025-01-26,Closed,2025-01-29,3,3,Medium
SR-100330,Code Enforcement,Unsafe Structure,2025-01-26,Resolved,2025-02-04,9,3,High
SR-100816,Code Enforcement,Abandoned Vehicle,2025-01-26,Closed,2025-03-01,34,5,Low
SR-102399,Planning,Land Use Complaint,2025-01-26,In Progress,,592,5,Low
SR-100358,Public Works,Sidewalk Damage,2025-01-26,In Progress,,592,5,Medium
SR-101909,Water Utilities,Meter Reading Issue,2025-01-27,Closed,2025-01-30,3,2,Low
SR-101480,Public Works,Road Debris,2025-01-27,Open,,591,2,Low
SR-101694,Code Enforcement,Overgrown Lot,2025-01-27,Open,,591,3,Medium
SR-100929,Public Works,Street Light Outage,2025-01-27,Resolved,2025-02-03,7,2,Medium
SR-101360,Public Works,Storm Drain Blocked,2025-01-27,Closed,2025-01-30,3,4,High
SR-100219,Public Works,Pothole Repair,2025-01-28,Closed,2025-01-31,3,1,Medium
SR-101671,Water Utilities,Low Water Pressure,2025-01-28,Closed,2025-02-06,9,4,Low
SR-102289,Public Works,Pothole Repair,2025-01-28,Resolved,2025-02-10,13,4,Low
SR-102241,Public Works,Storm Drain Blocked,2025-01-28,Open,,590,1,Low
SR-101633,Water Utilities,Water Main Break,2025-01-28,Resolved,2025-02-04,7,2,Medium
SR-101125,Public Works,Storm Drain Blocked,2025-01-28,Open,,590,2,Medium
SR-100018,Public Works,Storm Drain Blocked,2025-01-28,Resolved,2025-01-30,2,3,Low
SR-100905,Parks & Recreation,Trail Erosion,2025-01-28,Resolved,2025-02-05,8,3,Low
SR-102009,Public Works,Sidewalk Damage,2025-01-29,Open,,589,5,Medium
SR-101589,Animal Control,Barking Complaint,2025-01-29,Closed,2025-02-26,28,1,High
SR-101857,Water Utilities,Billing Inquiry,2025-01-29,Closed,2025-02-05,7,3,High
SR-100152,Public Works,Sidewalk Damage,2025-01-29,In Progress,,589,4,Medium
SR-101032,Public Works,Sidewalk Damage,2025-01-29,In Progress,,589,5,High
SR-100377,Code Enforcement,Illegal Dumping,2025-01-30,Closed,2025-02-06,7,3,Low
SR-100409,Parks & Recreation,Park Maintenance,2025-01-31,Resolved,2025-02-26,26,2,Medium
SR-101010,Water Utilities,Water Main Break,2025-01-31,Open,,587,5,Low
SR-101796,Parks & Recreation,Park Maintenance,2025-01-31,Open,,587,1,Medium
SR-102018,Animal Control,Stray Animal,2025-01-31,Closed,2025-03-03,31,2,Low
SR-100566,Code Enforcement,Noise Complaint,2025-02-01,Resolved,2025-02-27,26,3,Medium
SR-102364,Public Works,Sidewalk Damage,2025-02-01,Resolved,2025-02-14,13,4,Low
SR-102135,Animal Control,Animal Bite Report,2025-02-01,Resolved,2025-02-18,17,2,Medium
SR-100328,Public Works,Pothole Repair,2025-02-01,In Progress,,586,4,Medium
SR-102062,Code Enforcement,Abandoned Vehicle,2025-02-02,Closed,2025-02-07,5,2,High
SR-101304,Public Works,Pothole Repair,2025-02-03,Closed,2025-02-27,24,5,High
SR-102043,Parks & Recreation,Tree Trimming Request,2025-02-03,Closed,2025-02-05,2,2,High
SR-102013,Code Enforcement,Overgrown Lot,2025-02-03,In Progress,,584,5,Medium
SR-102347,Planning,Sign Violation,2025-02-04,Closed,2025-02-09,5,5,Medium
SR-102397,Planning,Sign Violation,2025-02-04,Closed,2025-02-04,0,5,Medium
SR-100355,Public Works,Storm Drain Blocked,2025-02-04,Closed,2025-02-07,3,5,Medium
SR-101826,Water Utilities,Meter Reading Issue,2025-02-05,Resolved,2025-03-02,25,2,High
SR-101918,Planning,Zoning Inquiry,2025-02-05,Resolved,2025-02-05,0,2,Low
SR-101318,Public Works,Road Debris,2025-02-06,Closed,2025-02-23,17,3,High
SR-101067,Planning,Sign Violation,2025-02-06,Closed,2025-02-15,9,2,High
SR-101803,Public Works,Sidewalk Damage,2025-02-07,Closed,2025-02-13,6,5,Low
SR-100502,Parks & Recreation,Playground Equipment Damage,2025-02-07,Resolved,2025-02-08,1,1,Low
SR-101208,Water Utilities,Billing Inquiry,2025-02-07,Resolved,2025-02-26,19,5,Low
SR-102129,Parks & Recreation,Tree Trimming Request,2025-02-07,Closed,2025-02-09,2,5,Medium
SR-101619,Planning,Sign Violation,2025-02-08,Closed,2025-02-16,8,4,Low
SR-101837,Water Utilities,Billing Inquiry,2025-02-08,Closed,2025-02-08,0,2,Medium
SR-101192,Public Works,Pothole Repair,2025-02-08,Resolved,2025-02-12,4,1,Low
SR-100648,Parks & Recreation,Playground Equipment Damage,2025-02-08,Resolved,2025-02-19,11,4,Medium
SR-100531,Public Works,Sidewalk Damage,2025-02-09,Closed,2025-02-19,10,4,Medium
SR-100815,Planning,Permit Question,2025-02-09,In Progress,,578,4,Medium
SR-101915,Code Enforcement,Overgrown Lot,2025-02-09,Resolved,2025-02-09,0,1,Low
SR-102358,Water Utilities,Water Main Break,2025-02-10,Resolved,2025-03-08,26,5,Medium
SR-100012,Animal Control,Animal Bite Report,2025-02-10,Closed,2025-03-11,29,4,Low
SR-102385,Parks & Recreation,Playground Equipment Damage,2025-02-10,Resolved,2025-02-24,14,1,High
SR-100983,Public Works,Road Debris,2025-02-11,Resolved,2025-02-14,3,2,Medium
SR-100835,Water Utilities,Billing Inquiry,2025-02-11,Open,,576,2,Low
SR-100265,Code Enforcement,Overgrown Lot,2025-02-11,Resolved,2025-02-20,9,2,High
SR-100148,Animal Control,Stray Animal,2025-02-11,In Progress,,576,1,Low
SR-100116,Animal Control,Stray Animal,2025-02-11,Closed,2025-02-16,5,3,Medium
SR-100809,Public Works,Pothole Repair,2025-02-11,Resolved,2025-02-22,11,3,Low
SR-101283,Public Works,Pothole Repair,2025-02-11,Resolved,2025-02-18,7,1,Medium
SR-100156,Water Utilities,Meter Reading Issue,2025-02-11,Open,,576,2,Medium
SR-102185,Public Works,Pothole Repair,2025-02-12,Resolved,2025-02-14,2,4,Medium
SR-100493,Animal Control,Wildlife Concern,2025-02-12,In Progress,,575,4,Low
SR-102327,Water Utilities,Meter Reading Issue,2025-02-12,In Progress,,575,4,Medium
SR-100663,Parks & Recreation,Park Maintenance,2025-02-12,Open,,575,2,Medium
SR-101361,Parks & Recreation,Trail Erosion,2025-02-12,Closed,2025-02-21,9,5,Low
SR-102307,Animal Control,Barking Complaint,2025-02-13,Resolved,2025-02-15,2,4,Low
SR-100581,Water Utilities,Water Main Break,2025-02-13,Resolved,2025-02-13,0,1,Low
SR-102136,Water Utilities,Water Main Break,2025-02-13,Resolved,2025-03-03,18,3,Low
SR-100528,Public Works,Sidewalk Damage,2025-02-13,In Progress,,574,1,Low
SR-101631,Planning,Sign Violation,2025-02-14,Closed,2025-03-20,34,3,High
SR-100405,Code Enforcement,Illegal Dumping,2025-02-14,Resolved,2025-03-23,37,2,Low
SR-101366,Public Works,Storm Drain Blocked,2025-02-14,Resolved,2025-03-02,16,5,Low
SR-101680,Animal Control,Wildlife Concern,2025-02-15,In Progress,,572,1,Low
SR-101878,Public Works,Road Debris,2025-02-15,In Progress,,572,2,Medium
SR-102469,Code Enforcement,Illegal Dumping,2025-02-15,Resolved,2025-03-01,14,4,Medium
SR-102381,Code Enforcement,Unsafe Structure,2025-02-15,Closed,2025-02-24,9,3,Low
SR-102051,Code Enforcement,Unsafe Structure,2025-02-16,Closed,2025-02-27,11,1,High
SR-102282,Water Utilities,Low Water Pressure,2025-02-16,Closed,2025-02-23,7,3,Medium
SR-101770,Parks & Recreation,Trail Erosion,2025-02-16,Closed,2025-02-22,6,5,High
SR-101097,Parks & Recreation,Trail Erosion,2025-02-16,Closed,2025-03-08,20,3,Low
SR-101369,Public Works,Pothole Repair,2025-02-16,Resolved,2025-02-20,4,2,Low
SR-100888,Public Works,Sidewalk Damage,2025-02-16,Resolved,2025-03-14,26,3,Low
SR-101064,Planning,Land Use Complaint,2025-02-17,In Progress,,570,5,Medium
SR-100717,Code Enforcement,Overgrown Lot,2025-02-17,Closed,2025-02-19,2,2,Medium
SR-101477,Water Utilities,Low Water Pressure,2025-02-17,Closed,2025-03-11,22,4,Medium
SR-101891,Public Works,Road Debris,2025-02-17,In Progress,,570,5,Medium
SR-102152,Water Utilities,Meter Reading Issue,2025-02-17,Closed,2025-02-26,9,3,Low
SR-102037,Code Enforcement,Illegal Dumping,2025-02-18,Resolved,2025-02-28,10,3,Low
SR-100837,Parks & Recreation,Park Maintenance,2025-02-18,Closed,2025-02-18,0,1,Low
SR-100560,Public Works,Storm Drain Blocked,2025-02-18,Resolved,2025-02-23,5,4,Low
SR-100781,Water Utilities,Billing Inquiry,2025-02-18,Resolved,2025-03-12,22,4,Medium
SR-101969,Public Works,Pothole Repair,2025-02-18,Resolved,2025-03-04,14,5,Low
SR-102015,Water Utilities,Billing Inquiry,2025-02-19,Open,,568,4,Low
SR-101643,Public Works,Pothole Repair,2025-02-19,Closed,2025-05-06,76,2,Medium
SR-101772,Planning,Permit Question,2025-02-20,Open,,567,1,Medium
SR-102054,Public Works,Storm Drain Blocked,2025-02-20,In Progress,,567,5,Low
SR-101258,Animal Control,Animal Bite Report,2025-02-20,Resolved,2025-02-24,4,2,High
SR-101681,Water Utilities,Low Water Pressure,2025-02-21,Resolved,2025-03-02,9,1,Low
SR-102419,Code Enforcement,Abandoned Vehicle,2025-02-22,Closed,2025-02-27,5,2,High
SR-100671,Animal Control,Animal Bite Report,2025-02-23,Open,,564,3,Medium
SR-101021,Code Enforcement,Abandoned Vehicle,2025-02-23,Open,,564,2,Low
SR-101127,Animal Control,Animal Bite Report,2025-02-23,Open,,564,2,Medium
SR-101081,Public Works,Storm Drain Blocked,2025-02-23,Resolved,2025-03-27,32,4,Medium
SR-100843,Water Utilities,Water Main Break,2025-02-24,Open,,563,2,Low
SR-100137,Public Works,Road Debris,2025-02-24,Resolved,2025-03-31,35,2,High
SR-100273,Water Utilities,Billing Inquiry,2025-02-25,Resolved,2025-03-01,4,1,Low
SR-100097,Parks & Recreation,Tree Trimming Request,2025-02-25,Closed,2025-03-21,24,5,Low
SR-100770,Public Works,Storm Drain Blocked,2025-02-25,Resolved,2025-03-07,10,3,Medium
SR-100805,Public Works,Street Light Outage,2025-02-26,Closed,2025-02-26,0,5,Medium
SR-100306,Public Works,Storm Drain Blocked,2025-02-26,Resolved,2025-03-03,5,4,Medium
SR-100849,Public Works,Street Light Outage,2025-02-26,Open,,561,3,Low
SR-102481,Animal Control,Barking Complaint,2025-02-26,Resolved,2025-03-01,3,2,Low
SR-101446,Code Enforcement,Noise Complaint,2025-02-26,Closed,2025-02-27,1,4,Medium
SR-100896,Planning,Land Use Complaint,2025-02-27,Closed,2025-02-28,1,5,Medium
SR-100576,Planning,Zoning Inquiry,2025-02-27,Closed,2025-03-02,3,3,Low
SR-100763,Public Works,Road Debris,2025-02-27,Resolved,2025-02-28,1,5,Low
SR-101215,Public Works,Road Debris,2025-02-28,In Progress,,559,5,Medium
SR-101241,Public Works,Road Debris,2025-02-28,Closed,2025-03-03,3,5,Low
SR-100225,Code Enforcement,Noise Complaint,2025-02-28,Resolved,2025-03-04,4,4,Low
SR-100478,Planning,Permit Question,2025-02-28,Open,,559,1,Medium
SR-101203,Water Utilities,Meter Reading Issue,2025-02-28,Closed,2025-03-14,14,5,Medium
SR-100248,Public Works,Sidewalk Damage,2025-03-01,Closed,2025-03-14,13,3,Medium
SR-101765,Planning,Zoning Inquiry,2025-03-01,Closed,2025-03-01,0,5,Medium
SR-100308,Parks & Recreation,Trail Erosion,2025-03-01,Resolved,2025-03-05,4,3,Low
SR-100607,Code Enforcement,Noise Complaint,2025-03-01,Closed,2025-03-02,1,1,Low
SR-102366,Code Enforcement,Unsafe Structure,2025-03-01,Open,,558,3,Medium
SR-102474,Animal Control,Animal Bite Report,2025-03-02,Open,,557,5,Low
SR-102292,Parks & Recreation,Tree Trimming Request,2025-03-02,Resolved,2025-03-02,0,4,Low
SR-101527,Public Works,Street Light Outage,2025-03-02,Closed,2025-03-07,5,4,Low
SR-101291,Public Works,Road Debris,2025-03-02,Resolved,2025-03-02,0,4,Medium
SR-101275,Public Works,Storm Drain Blocked,2025-03-02,Closed,2025-03-19,17,3,Low
SR-100759,Water Utilities,Meter Reading Issue,2025-03-02,In Progress,,557,4,Medium
SR-102332,Parks & Recreation,Trail Erosion,2025-03-03,Closed,2025-03-22,19,5,Low
SR-100171,Public Works,Sidewalk Damage,2025-03-03,In Progress,,556,4,Low
SR-101956,Parks & Recreation,Playground Equipment Damage,2025-03-04,Closed,2025-03-10,6,3,Low
SR-100378,Code Enforcement,Overgrown Lot,2025-03-04,Closed,2025-03-05,1,2,Low
SR-102421,Animal Control,Barking Complaint,2025-03-04,Closed,2025-03-04,0,1,Low
SR-100200,Water Utilities,Billing Inquiry,2025-03-05,Open,,554,2,Medium
SR-100707,Animal Control,Stray Animal,2025-03-05,Closed,2025-03-20,15,5,Medium
SR-102210,Public Works,Street Light Outage,2025-03-06,Open,,553,4,Low
SR-100235,Public Works,Pothole Repair,2025-03-06,Resolved,2025-03-11,5,5,Low
SR-102271,Public Works,Street Light Outage,2025-03-06,Resolved,2025-03-06,0,2,Low
SR-100082,Planning,Permit Question,2025-03-06,Closed,2025-03-13,7,3,Medium
SR-101075,Code Enforcement,Noise Complaint,2025-03-06,In Progress,,553,4,High
SR-101627,Code Enforcement,Abandoned Vehicle,2025-03-06,Resolved,2025-03-06,0,2,Low
SR-102296,Water Utilities,Water Main Break,2025-03-06,Closed,2025-03-13,7,4,Low
SR-102145,Public Works,Road Debris,2025-03-07,Closed,2025-03-16,9,4,Low
SR-102412,Water Utilities,Meter Reading Issue,2025-03-07,In Progress,,552,2,Low
SR-100680,Public Works,Sidewalk Damage,2025-03-07,Closed,2025-03-18,11,2,Low
SR-101177,Code Enforcement,Unsafe Structure,2025-03-08,Open,,551,2,Medium
SR-102116,Planning,Permit Question,2025-03-08,Closed,2025-03-11,3,5,Low
SR-101452,Animal Control,Stray Animal,2025-03-09,Resolved,2025-03-25,16,4,Low
SR-101086,Water Utilities,Billing Inquiry,2025-03-09,Resolved,2025-03-17,8,4,Low
SR-100387,Animal Control,Animal Bite Report,2025-03-09,Resolved,2025-04-25,47,5,Medium
SR-101456,Public Works,Pothole Repair,2025-03-09,Open,,550,2,Low
SR-101479,Code Enforcement,Overgrown Lot,2025-03-10,Closed,2025-04-04,25,4,Low
SR-100065,Parks & Recreation,Playground Equipment Damage,2025-03-10,Resolved,2025-03-14,4,3,Low
SR-100052,Public Works,Storm Drain Blocked,2025-03-10,Resolved,2025-03-11,1,4,Low
SR-100597,Parks & Recreation,Trail Erosion,2025-03-11,Resolved,2025-04-07,27,4,Medium
SR-102167,Parks & Recreation,Playground Equipment Damage,2025-03-11,Resolved,2025-03-23,12,2,Low
SR-101238,Public Works,Storm Drain Blocked,2025-03-11,Closed,2025-04-03,23,1,Low
SR-101389,Code Enforcement,Overgrown Lot,2025-03-12,Resolved,2025-03-19,7,3,Low
SR-100752,Public Works,Street Light Outage,2025-03-12,Closed,2025-03-19,7,2,Medium
SR-100840,Water Utilities,Water Main Break,2025-03-12,Resolved,2025-03-16,4,4,Low
SR-101566,Planning,Land Use Complaint,2025-03-12,Resolved,2025-04-09,28,4,Medium
SR-102499,Code Enforcement,Abandoned Vehicle,2025-03-12,Closed,2025-03-19,7,4,Medium
SR-101872,Parks & Recreation,Tree Trimming Request,2025-03-12,Resolved,2025-03-22,10,3,Low
SR-100631,Public Works,Street Light Outage,2025-03-12,Resolved,2025-03-12,0,5,Medium
SR-101729,Public Works,Street Light Outage,2025-03-12,Resolved,2025-03-16,4,1,Medium
SR-100333,Code Enforcement,Noise Complaint,2025-03-13,Resolved,2025-04-01,19,2,Low
SR-100582,Code Enforcement,Noise Complaint,2025-03-13,Closed,2025-04-12,30,3,Medium
SR-102231,Code Enforcement,Abandoned Vehicle,2025-03-14,Resolved,2025-03-16,2,5,Low
SR-100206,Water Utilities,Water Main Break,2025-03-14,Resolved,2025-03-14,0,2,High
SR-100254,Water Utilities,Billing Inquiry,2025-03-14,In Progress,,545,1,Medium
SR-102248,Public Works,Storm Drain Blocked,2025-03-14,Resolved,2025-04-08,25,2,Medium
SR-101137,Code Enforcement,Abandoned Vehicle,2025-03-14,Resolved,2025-03-25,11,3,Low
SR-100519,Public Works,Storm Drain Blocked,2025-03-14,Closed,2025-03-23,9,1,High
SR-100910,Code Enforcement,Abandoned Vehicle,2025-03-14,Resolved,2025-03-20,6,2,Medium
SR-100315,Code Enforcement,Noise Complaint,2025-03-15,Closed,2025-04-17,33,2,Low
SR-101953,Public Works,Road Debris,2025-03-15,Closed,2025-03-15,0,1,High
SR-102458,Public Works,Storm Drain Blocked,2025-03-15,Open,,544,4,Low
SR-100544,Water Utilities,Low Water Pressure,2025-03-15,Resolved,2025-03-16,1,3,High
SR-101286,Animal Control,Wildlife Concern,2025-03-15,Resolved,2025-03-17,2,1,Low
SR-101890,Planning,Zoning Inquiry,2025-03-16,Closed,2025-03-18,2,2,Low
SR-102331,Public Works,Street Light Outage,2025-03-16,Closed,2025-03-17,1,3,Low
SR-100975,Public Works,Storm Drain Blocked,2025-03-16,Closed,2025-03-16,0,3,High
SR-100312,Public Works,Storm Drain Blocked,2025-03-16,Closed,2025-04-01,16,5,Low
SR-100343,Code Enforcement,Illegal Dumping,2025-03-16,Resolved,2025-03-28,12,1,Medium
SR-102494,Water Utilities,Low Water Pressure,2025-03-17,In Progress,,542,3,Medium
SR-100628,Public Works,Street Light Outage,2025-03-17,Resolved,2025-03-22,5,2,Low
SR-100703,Public Works,Sidewalk Damage,2025-03-17,Resolved,2025-04-01,15,3,Low
SR-101428,Planning,Permit Question,2025-03-18,Resolved,2025-03-30,12,3,Medium
SR-100664,Public Works,Sidewalk Damage,2025-03-18,Open,,541,3,Medium
SR-102092,Water Utilities,Billing Inquiry,2025-03-18,In Progress,,541,1,Low
